gameDate,gamePk,playerId,fullName,firstName,lastName,primaryNumber,birthDate,currentAge,height,weight,primaryPosition,batSide,pitchHand,teamAbbrev,gameLogSummary,note,atBats,hits,doubles,triples,homeRuns,rbi,runs,strikeOuts,baseOnBalls,stolenBases,caughtStealing,groundIntoDoublePlay,plateAppearances,inningsPitched,earnedRuns,hitsAllowed,homeRunsAllowed,strikeOutsPitching,baseOnBallsPitching,pitchesThrown,wins,losses,saves
2026-04-13,823153,666374,Matt Brash,Matthew,Brash,47,1998-05-12,27,"6' 1""",173,Pitcher,Right,Right,SEA,"0.1 IP, 0 ER, 0 K, 0 BB",,,,,,,,,,,,,,,0.1,0,0,0,0,0,4,0,0,0
2026-04-13,823153,669302,Logan Gilbert,Logan,Gilbert,36,1997-05-05,28,"6' 6""",215,Pitcher,Right,Right,SEA,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,823153,693433,Bryan Woo,Bryan,Woo,22,2000-01-30,26,"6' 2""",205,Pitcher,Right,Right,SEA,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,823153,680977,Brendan Donovan,Brendan,Donovan,33,1997-01-16,29,"5' 11""",210,Second Base,Left,Right,SEA,"2-4 | 2B, BB",,4,2,1,0,0,0,0,0,1,0,0,0,5,,,,,,,,,,
2026-04-13,823153,622491,Luis Castillo,Luis,Castillo,58,1992-12-12,33,"6' 2""",200,Pitcher,Right,Right,SEA,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,823153,681867,Cooper Criswell,Cooper,Criswell,88,1996-07-24,29,"6' 6""",200,Pitcher,Right,Right,SEA,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,823153,669923,George Kirby,George,Kirby,68,1998-02-04,28,"6' 4""",215,Pitcher,Right,Right,SEA,"7.2 IP, 2 ER, 6 K, BB",,,,,,,,,,,,,,,7.2,2,7,0,6,1,99,1,0,0
2026-04-13,823153,662253,Andrés Muñoz,Andrés,Muñoz,75,1999-01-16,27,"6' 2""",222,Pitcher,Right,Right,SEA,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,823153,641598,Mitch Garver,Mitchell,Garver,18,1991-01-15,35,"6' 1""",220,Catcher,Right,Right,SEA,1-4 | K,,4,1,0,0,0,0,0,1,0,0,0,0,4,,,,,,,,,,
2026-04-13,823153,642100,Gabe Speier,Gabriel,Speier,55,1995-04-12,31,"5' 11""",200,Pitcher,Left,Left,SEA,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,823153,677594,Julio Rodríguez,Julio,Rodríguez,44,2000-12-29,25,"6' 4""",228,Outfielder,Right,Right,SEA,"2-4 | 2B, 2 R",,4,2,1,0,0,0,2,0,0,0,0,0,4,,,,,,,,,,
2026-04-13,823153,660844,Leo Rivas,Leonardo,Rivas,76,1997-10-10,28,"5' 7""",150,Second Base,Switch,Right,SEA,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,823153,660825,Eduard Bazardo,Eduard,Bazardo,83,1995-09-01,30,"6' 0""",190,Pitcher,Right,Right,SEA,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,823153,670042,Luke Raley,Lucas,Raley,20,1994-09-19,31,"6' 3""",235,Outfielder,Left,Right,SEA,"3-4 | K, RBI",,4,3,0,0,0,1,0,1,0,0,0,0,4,,,,,,,,,,
2026-04-13,823153,676106,Emerson Hancock,Emerson,Hancock,26,1999-05-31,26,"6' 4""",213,Pitcher,Right,Right,SEA,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,823153,694376,Shay Whitcomb,Shay,Whitcomb,14,1998-09-28,27,"6' 0""",202,Outfielder,Right,Right,HOU,0-0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2026-04-13,823153,670623,Isaac Paredes,Isaac,Paredes,15,1999-02-18,27,"5' 11""",213,Third Base,Right,Right,HOU,2-4 | K,,4,2,0,0,0,0,0,1,0,0,0,0,4,,,,,,,,,,
2026-04-13,823153,650556,Bryan Abreu,Bryan,Abreu,52,1997-04-22,28,"6' 1""",230,Pitcher,Right,Right,HOU,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,823153,669397,Nick Allen,Nicholas,Allen,20,1998-10-08,27,"5' 7""",166,Shortstop,Right,Right,HOU,0-2,,2,0,0,0,0,0,0,0,0,0,0,1,2,,,,,,,,,,
2026-04-13,823153,678906,Kai-Wei Teng,Kai-Wei,Teng,17,1998-12-01,27,"6' 4""",241,Pitcher,Right,Right,HOU,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,823153,680802,Ryan Weiss,Ryan,Weiss,51,1996-12-10,29,"6' 4""",210,Pitcher,Right,Right,HOU,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,823153,701358,Cam Smith,Cameron,Smith,11,2003-02-22,23,"6' 3""",224,Outfielder,Right,Right,HOU,1-4 | R,,4,1,0,0,0,0,1,0,0,0,0,1,4,,,,,,,,,,
2026-04-13,823153,685005,Christian Roa,Christian,Roa,73,1999-04-02,27,"6' 4""",220,Pitcher,Right,Right,HOU,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,823153,641585,J.P. France,Jonathan,France,68,1995-04-04,31,"6' 0""",198,Pitcher,Right,Right,HOU,"2.0 IP, 0 ER, 0 K, 0 BB",,,,,,,,,,,,,,,2.0,0,2,0,0,0,23,0,0,0
2026-04-13,823153,660853,Enyel De Los Santos,Enyel,De Los Santos,65,1995-12-25,30,"6' 3""",235,Pitcher,Right,Right,HOU,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,823153,595345,Steven Okert,Steven,Okert,48,1991-07-09,34,"6' 2""",202,Pitcher,Left,Left,HOU,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,823153,694728,Brice Matthews,Brice,Matthews,0,2002-03-16,24,"5' 10""",190,Shortstop,Right,Right,HOU,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,823153,805123,AJ Blubaugh,Alan,Blubaugh,69,2000-07-04,25,"6' 2""",190,Pitcher,Right,Right,HOU,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,823153,514888,Jose Altuve,Jose,Altuve,27,1990-05-06,35,"5' 6""",167,Outfielder,Right,Right,HOU,0-4,,4,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,
2026-04-13,823153,666211,Taylor Trammell,Taylor,Trammell,26,1997-09-13,28,"6' 1""",220,Outfielder,Left,Left,HOU,"1-4 | K, R",,4,1,0,0,0,0,1,1,0,0,0,0,4,,,,,,,,,,
2026-04-13,823153,675989,Cody Bolton,Carl,Bolton,67,1998-06-19,27,"6' 2""",210,Pitcher,Right,Right,HOU,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,823153,694388,Joey Loperfido,Mario,Loperfido,10,1999-05-11,26,"6' 3""",220,Outfielder,Left,Right,HOU,1-1,,1,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,
2026-04-13,823153,621121,Lance McCullers Jr.,Lance,McCullers,43,1993-10-02,32,"6' 1""",200,Pitcher,Left,Right,HOU,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,823153,681347,Mike Burrows,Michael,Burrows,50,1999-11-08,26,"6' 1""",200,Pitcher,Right,Right,HOU,"6.0 IP, 6 ER, 3 K, BB",,,,,,,,,,,,,,,6.0,6,11,2,3,1,98,0,1,0
2026-04-13,823153,687911,Bryan King,Bryan,King,74,1996-11-05,29,"6' 1""",205,Pitcher,Right,Left,HOU,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,823153,621043,Carlos Correa,Carlos,Correa,1,1994-09-22,31,"6' 3""",220,Shortstop,Right,Right,HOU,1-4 | 2 K,,4,1,0,0,0,0,0,2,0,0,0,0,4,,,,,,,,,,
2026-04-13,823153,572233,Christian Walker,Christian,Walker,8,1991-03-28,35,"5' 11""",208,First Base,Right,Right,HOU,"0-3 | BB, 2 K",,3,0,0,0,0,0,0,2,1,0,0,0,4,,,,,,,,,,
2026-04-13,823153,676467,Colton Gordon,Colton,Gordon,61,1998-12-20,27,"6' 4""",225,Pitcher,Left,Left,HOU,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,823153,543877,Christian Vázquez,Christian,Vázquez,2,1990-08-21,35,"5' 8""",205,Catcher,Right,Right,HOU,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,823153,673237,Yainer Diaz,Yainer,Diaz,21,1998-09-21,27,"5' 11""",195,Catcher,Right,Right,HOU,1-3 | RBI,,3,1,0,0,0,1,0,0,0,0,0,0,3,,,,,,,,,,
2026-04-13,823153,670541,Yordan Alvarez,Yordan,Alvarez,44,1997-06-27,28,"6' 4""",237,Outfielder,Left,Right,HOU,0-3 | BB,,3,0,0,0,0,0,0,0,1,0,0,0,4,,,,,,,,,,
2026-04-13,824856,669236,Jeremiah Jackson,Jeremiah,Jackson,82,2000-03-26,26,"5' 11""",200,Second Base,Right,Right,BAL,"3-4 | 2 HR, 5 RBI, 2 R",,4,3,0,0,2,5,2,0,0,0,0,0,4,,,,,,,,,,
2026-04-13,824856,665152,Dean Kremer,Dean,Kremer,64,1996-01-07,30,"6' 2""",210,Pitcher,Right,Right,BAL,"5.0 IP, 2 ER, 9 K, 0 BB",,,,,,,,,,,,,,,5.0,2,6,3,9,0,80,0,0,0
2026-04-13,824856,694212,Samuel Basallo,Samuel,Basallo,29,2004-08-13,21,"6' 4""",250,Catcher,Left,Right,BAL,0-4 | K,,4,0,0,0,0,0,0,1,0,0,0,0,4,,,,,,,,,,
2026-04-13,824856,669432,Trevor Rogers,Trevor,Rogers,28,1997-11-13,28,"6' 5""",230,Pitcher,Left,Left,BAL,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,824856,669330,Tyler Wells,Tyler,Wells,68,1994-08-26,31,"6' 8""",270,Pitcher,Right,Right,BAL,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,824856,670329,Rico Garcia,Joshua,Garcia,50,1994-01-10,32,"5' 9""",215,Pitcher,Right,Right,BAL,"1.0 IP, 0 ER, 0 K, 0 BB",,,,,,,,,,,,,,,1.0,0,0,0,0,0,11,0,0,0
2026-04-13,824856,642215,Weston Wilson,Weston,Wilson,32,1994-09-11,31,"6' 3""",215,Outfielder,Right,Right,BAL,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,824856,675919,Nick Raquet,Nick,Raquet,72,1995-12-12,30,"6' 0""",215,Pitcher,Right,Left,BAL,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,824856,683002,Gunnar Henderson,Gunnar,Henderson,2,2001-06-29,24,"6' 3""",230,Shortstop,Left,Right,BAL,"1-5 | 3B, K, RBI",,5,1,0,1,0,1,0,1,0,0,0,0,5,,,,,,,,,,
2026-04-13,824856,665750,Leody Taveras,Leody,Taveras,30,1998-09-08,27,"6' 2""",210,Outfield,Switch,Right,BAL,"1-3 | BB, K, RBI",,3,1,0,0,0,1,1,1,1,0,0,0,4,,,,,,,,,,
2026-04-13,824856,621493,Taylor Ward,Joseph,Ward,3,1993-12-14,32,"6' 0""",205,Outfielder,Right,Right,BAL,"0-4 | HBP, 3 K, R",,4,0,0,0,0,0,1,3,0,0,0,0,5,,,,,,,,,,
2026-04-13,824856,669358,Shane Baz,Shane,Baz,34,1999-06-17,26,"6' 3""",200,Pitcher,Right,Right,BAL,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,824856,680694,Kyle Bradish,Kyle,Bradish,38,1996-09-12,29,"6' 3""",215,Pitcher,Right,Right,BAL,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,824856,544150,Albert Suárez,Albert,Suárez,49,1989-10-08,36,"6' 3""",235,Pitcher,Right,Right,BAL,"2.0 IP, 3 ER, 0 K, BB",,,,,,,,,,,,,,,2.0,3,4,1,0,1,40,1,0,0
2026-04-13,824856,687637,Dylan Beavers,Dylan,Beavers,12,2001-08-11,24,"6' 5""",220,Outfielder,Left,Right,BAL,1-4 | R,,4,1,0,0,0,0,1,0,0,0,0,0,4,,,,,,,,,,
2026-04-13,824856,605135,Chris Bassitt,Christopher,Bassitt,40,1989-02-22,37,"6' 5""",220,Pitcher,Right,Right,BAL,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,824856,677942,Blaze Alexander,Blaze,Alexander,23,1999-06-11,26,"5' 11""",200,Shortstop,Right,Right,BAL,"0-2 | BB, 2 K, R",,2,0,0,0,0,0,1,2,1,0,0,0,4,,,,,,,,,,
2026-04-13,824856,671286,Johnathan Rodríguez,Johnathan,Rodríguez,62,1999-11-04,26,"6' 2""",224,Outfielder,Right,Right,BAL,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,824856,689296,Anthony Nunez,Anthony,Nunez,66,2001-07-10,24,"6' 2""",220,Pitcher,Switch,Right,BAL,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,824856,624413,Pete Alonso,Peter,Alonso,25,1994-12-07,31,"6' 3""",245,First Base,Right,Right,BAL,"2-3 | HR, 2B, BB",,3,2,1,0,1,2,2,0,1,0,0,0,4,,,,,,,,,,
2026-04-13,824856,664854,Ryan Helsley,Ryan,Helsley,21,1994-07-18,31,"6' 2""",235,Pitcher,Right,Right,BAL,"1.0 IP, 0 ER, 2 K, 0 BB",,,,,,,,,,,,,,,1.0,0,0,0,2,0,12,0,0,1
2026-04-13,824856,664991,Grant Wolfram,Grant,Wolfram,48,1996-12-12,29,"6' 7""",250,Pitcher,Left,Left,BAL,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,824856,666974,Yennier Cano,Yennier,Cano,78,1994-03-09,32,"6' 4""",245,Pitcher,Right,Right,BAL,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,824856,668974,Maverick Handley,Maverick,Handley,98,1998-03-10,28,"5' 9""",210,Catcher,Right,Right,BAL,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,824856,681297,Colton Cowser,Colton,Cowser,17,2000-03-20,26,"6' 3""",220,Outfielder,Left,Right,BAL,"0-3 | BB, K, R",,3,0,0,0,0,0,1,1,1,0,0,0,4,,,,,,,,,,
2026-04-13,824856,691723,Coby Mayo,Coby,Mayo,16,2001-12-10,24,"6' 5""",225,First Base,Right,Right,BAL,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,824856,694851,Andrew Hoffmann,Andrew,Hoffmann,56,2000-02-02,26,"6' 5""",210,Pitcher,Right,Right,AZ,"1.1 IP, ER, K, 0 BB",,,,,,,,,,,,,,,1.1,1,1,1,1,0,14,0,0,0
2026-04-13,824856,593958,Eduardo Rodriguez,Eduardo,Rodriguez,57,1993-04-07,33,"6' 2""",231,Pitcher,Left,Left,AZ,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,824856,666661,Juan Morillo,Juan,Morillo,62,1999-03-19,27,"6' 1""",150,Pitcher,Right,Right,AZ,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,824856,694297,Brandon Pfaadt,Brandon,Pfaadt,32,1998-10-15,27,"6' 4""",220,Pitcher,Right,Right,AZ,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,824856,694374,Tim Tawa,Timothy,Tawa,13,1999-04-07,27,"5' 11""",196,Second Base,Right,Right,AZ,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,824856,680728,Adrian Del Castillo,Adrian,Del Castillo,25,1999-09-27,26,"5' 9""",208,Catcher,Left,Right,AZ,"1-4 | K, R",,4,1,0,0,0,0,1,1,0,0,0,1,4,,,,,,,,,,
2026-04-13,824856,688497,Taylor Rashi,Taylor,Rashi,54,1996-01-15,30,"6' 4""",220,Pitcher,Right,Right,AZ,"0.2 IP, 4 ER, K, BB",,,,,,,,,,,,,,,0.2,4,3,1,1,1,15,0,0,0
2026-04-13,824856,571448,Nolan Arenado,Nolan,Arenado,28,1991-04-16,34,"6' 2""",215,Third Base,Right,Right,AZ,"2-4 | 2 HR, K, 5 RBI",,4,2,0,0,2,5,2,1,0,0,0,0,4,,,,,,,,,,
2026-04-13,824856,656464,Kevin Ginkel,Kevin,Ginkel,37,1994-03-24,32,"6' 4""",235,Pitcher,Left,Right,AZ,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,824856,606466,Ketel Marte,Ketel,Marte,4,1993-10-12,32,"6' 0""",210,Second Base,Switch,Right,AZ,"2-5 | 2 HR, K, 2 RBI",,5,2,0,0,2,2,2,1,0,0,0,0,5,,,,,,,,,,
2026-04-13,824856,663609,Luken Baker,Luken,Baker,21,1997-03-10,29,"6' 4""",285,First Base,Right,Right,AZ,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,824856,642528,Jonathan Loáisiga,Jonathan,Loáisiga,43,1994-11-02,31,"5' 11""",195,Pitcher,Right,Right,AZ,"0.2 IP, 2 ER, 0 K, BB",,,,,,,,,,,,,,,0.2,2,1,1,0,1,19,0,1,0
2026-04-13,824856,545121,Ildemaro Vargas,Ildemaro,Vargas,6,1991-07-16,34,"5' 11""",202,Second Base,Switch,Right,AZ,"2-4 | 2B, R",,4,2,1,0,0,0,1,0,0,0,0,0,4,,,,,,,,,,
2026-04-13,824856,669194,Ryne Nelson,Ryne,Nelson,19,1998-02-01,28,"6' 3""",184,Pitcher,Right,Right,AZ,"5.1 IP, ER, 7 K, 2 BB",,,,,,,,,,,,,,,5.1,1,3,0,7,2,92,0,0,0
2026-04-13,824856,672695,Geraldo Perdomo,Geraldo,Perdomo,2,1999-10-22,26,"6' 2""",203,Shortstop,Switch,Right,AZ,"0-3 | BB, CS",,3,0,0,0,0,0,0,0,1,0,1,0,4,,,,,,,,,,
2026-04-13,824856,699912,Jose Fernandez,Jose,Fernandez,11,2003-09-22,22,"6' 3""",165,Shortstop,Right,Right,AZ,"0-4 | K, R",,4,0,0,0,0,0,1,1,0,0,0,0,4,,,,,,,,,,
2026-04-13,824856,623149,Paul Sewald,Paul,Sewald,38,1990-05-26,35,"6' 3""",219,Pitcher,Right,Right,AZ,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,824856,647336,Michael Soroka,Michael,Soroka,34,1997-08-04,28,"6' 5""",250,Pitcher,Right,Right,AZ,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,824856,672515,Gabriel Moreno,Gabriel,Moreno,14,2000-02-14,26,"5' 9""",195,Catcher,Right,Right,AZ,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,824856,682998,Corbin Carroll,Corbin,Carroll,7,2000-08-21,25,"5' 10""",165,Outfielder,Left,Left,AZ,1-4 | 2 K,,4,1,0,0,0,0,0,2,0,0,0,0,4,,,,,,,,,,
2026-04-13,824856,664199,Taylor Clarke,Taylor,Clarke,45,1993-05-13,32,"6' 3""",210,Pitcher,Right,Right,AZ,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,824856,668678,Zac Gallen,Zachary,Gallen,23,1995-08-03,30,"6' 2""",189,Pitcher,Right,Right,AZ,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,824856,657044,Ryan Thompson,Ryan,Thompson,81,1992-06-26,33,"6' 5""",210,Pitcher,Right,Right,AZ,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,824856,543510,James McCann,James,McCann,8,1990-06-13,35,"6' 2""",235,Catcher,Right,Right,AZ,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,824856,677950,Alek Thomas,Alek,Thomas,5,2000-04-28,25,"5' 9""",175,Outfielder,Left,Left,AZ,0-4 | 3 K,,4,0,0,0,0,0,0,3,0,0,0,0,4,,,,,,,,,,
2026-04-13,824856,678489,Jorge Barrosa,Jorge,Barrosa,1,2001-02-17,25,"5' 6""",165,Outfielder,Switch,Left,AZ,"2-4 | 2B, 2 K",,4,2,1,0,0,0,0,2,0,0,0,0,4,,,,,,,,,,
2026-04-13,823400,694973,Paul Skenes,Paul,Skenes,30,2002-05-29,23,"6' 6""",260,Pitcher,Right,Right,PIT,"6.0 IP, ER, 6 K, BB",,,,,,,,,,,,,,,6.0,1,1,1,6,1,88,1,0,0
2026-04-13,823400,694377,Nick Yorke,Nicholas,Yorke,38,2002-04-02,24,"5' 11""",220,Second Base,Right,Right,PIT,0-6 | 2 K,,6,0,0,0,0,0,0,2,0,0,0,0,6,,,,,,,,,,
2026-04-13,823400,687462,Spencer Horwitz,Spencer,Horwitz,2,1997-11-14,28,"5' 10""",204,First Base,Left,Right,PIT,"2-4 | HR, BB, RBI",,4,2,0,0,1,1,2,0,1,0,0,0,5,,,,,,,,,,
2026-04-13,823400,664040,Brandon Lowe,Brandon,Lowe,5,1994-07-06,31,"5' 9""",181,Second Base,Left,Right,PIT,"3-5 | HR, HBP, 5 RBI",,5,3,0,0,1,5,2,0,0,0,0,0,6,,,,,,,,,,
2026-04-13,823400,668804,Bryan Reynolds,Bryan,Reynolds,10,1995-01-27,31,"6' 2""",210,Outfielder,Switch,Right,PIT,"3-4 | 3B, HBP, K",,4,3,0,1,0,4,1,1,0,0,0,0,5,,,,,,,,,,
2026-04-13,823400,663698,Joey Bart,Joseph,Bart,14,1996-12-15,29,"6' 2""",242,Catcher,Right,Right,PIT,0-0 | RBI,,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,
2026-04-13,823400,665833,Oneil Cruz,Oneil,Cruz,15,1998-10-04,27,"6' 7""",248,Outfielder,Left,Right,PIT,"2-3 | 2 BB, 3 RBI, 3 R",,3,2,0,0,0,3,3,0,2,1,0,0,5,,,,,,,,,,
2026-04-13,823400,681895,Evan Sisk,Samuel,Sisk,48,1997-04-23,28,"6' 2""",214,Pitcher,Left,Left,PIT,"2.0 IP, 0 ER, 3 K, BB",,,,,,,,,,,,,,,2.0,0,1,0,3,1,31,0,0,0
2026-04-13,823400,642397,Gregory Soto,Gregory,Soto,31,1995-02-11,31,"6' 1""",247,Pitcher,Left,Left,PIT,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,823400,682254,Mason Montgomery,Mason,Montgomery,46,2000-06-17,25,"6' 2""",205,Pitcher,Left,Left,PIT,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,823400,663968,Jake Mangum,Jake,Mangum,28,1996-03-08,30,"5' 11""",191,Outfielder,Switch,Left,PIT,"1-4 | BB, 2 R",,4,1,0,0,0,0,2,0,1,0,0,0,5,,,,,,,,,,
2026-04-13,823400,656605,Mitch Keller,Mitch,Keller,23,1996-04-04,30,"6' 3""",213,Pitcher,Right,Right,PIT,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,823400,670990,Yohan Ramírez,Yohan,Ramírez,49,1995-05-06,30,"6' 3""",205,Pitcher,Right,Right,PIT,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,823400,676755,Isaac Mattson,Isaac,Mattson,72,1995-07-14,30,"6' 2""",214,Pitcher,Right,Right,PIT,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,823400,696149,Bubba Chandler,Roy,Chandler,36,2002-09-14,23,"6' 3""",206,Pitcher,Switch,Right,PIT,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,823400,695257,Billy Cook,William,Cook,25,1999-01-07,27,"6' 0""",204,Outfield,Right,Right,PIT,1-1,,1,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,
2026-04-13,823400,669387,Carmen Mlodzinski,Carmen,Mlodzinski,50,1999-02-19,27,"6' 2""",210,Pitcher,Right,Right,PIT,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,823400,642701,Dennis Santana,Dennis,Santana,60,1996-04-12,30,"6' 2""",202,Pitcher,Right,Right,PIT,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,823400,680779,Henry Davis,Henry,Davis,32,1999-09-21,26,"5' 11""",225,Catcher,Right,Right,PIT,"2-4 | BB, K, 3 R",,4,2,0,0,0,0,3,1,1,1,0,0,5,,,,,,,,,,
2026-04-13,823400,664875,Justin Lawrence,Justin,Lawrence,61,1994-11-25,31,"6' 3""",211,Pitcher,Right,Right,PIT,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,823400,664353,José Urquidy,José,Urquidy,65,1995-05-01,30,"6' 0""",225,Pitcher,Right,Right,PIT,"1.0 IP, 4 ER, 0 K, 0 BB",,,,,,,,,,,,,,,1.0,4,6,1,0,0,31,0,0,0
2026-04-13,823400,804606,Konnor Griffin,Konnor,Griffin,6,2006-04-24,19,"6' 3""",222,Shortstop,Right,Right,PIT,"1-4 | BB, 2 K, RBI",,4,1,0,0,0,1,2,2,1,0,0,0,5,,,,,,,,,,
2026-04-13,823400,656811,Ryan O'Hearn,Ryan,O'Hearn,29,1993-07-26,32,"6' 2""",220,First Base,Left,Left,PIT,"1-5 | 2B, 3 K, RBI",,5,1,1,0,0,1,1,3,0,0,0,0,5,,,,,,,,,,
